timestamp_ms,seq,mode,snr,per_radio,per_auth,battery,latency_ms,ack_received,retries,auth_success,mode_switch,cost_selected
1418,1,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
2418,2,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
3418,3,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
4418,4,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
5418,5,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
6418,6,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
7418,7,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
8418,8,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
9418,9,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
10418,10,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
11418,11,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
12418,12,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
13418,13,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
14418,14,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
15418,15,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
16418,16,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
17418,17,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
18418,18,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
19418,19,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
20418,20,GCM,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.380
21418,21,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,1,0.320
22418,22,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
23418,23,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
24418,24,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
25418,25,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
26418,26,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
27418,27,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
28418,28,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
29418,29,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
30418,30,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
31418,31,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
32418,32,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
33418,33,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
34418,34,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
35418,35,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
36418,36,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
37418,37,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
38418,38,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
39418,39,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
40418,40,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
41418,41,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
42418,42,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
43418,43,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
44418,44,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
45418,45,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
46418,46,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
47418,47,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
48418,48,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
49418,49,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
50418,50,CTR,10.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
51418,51,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
52418,52,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
53418,53,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
54418,54,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
55418,55,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
56418,56,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
57418,57,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
58418,58,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
59418,59,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
60418,60,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
61418,61,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
62418,62,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
63418,63,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
64418,64,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
65418,65,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
66418,66,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
67418,67,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
68418,68,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
69418,69,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
70418,70,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
71418,71,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
72418,72,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
73418,73,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
74418,74,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
75418,75,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
76418,76,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
77418,77,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
78418,78,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
79418,79,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
80418,80,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
81418,81,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
82418,82,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
83418,83,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
84418,84,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
85418,85,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
86418,86,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
87418,87,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
88418,88,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
89418,89,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
90418,90,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
91418,91,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
92418,92,CTR,7.00,0.0000,0.0000,1.000,418,1,0,1,0,0.320
